text,category,vendor,taxable,grand_total
"==================================================
original for recipient - tax invoice
==================================================
supplier / vendor: canon india business machines
address: industrial area, delhi, india
gstin: 07xrmhn7207l2z2 | pan: xrmhn7207l
state / state code: delhi (07)

invoice no: bill/07/64172
invoice date: 10/07/2026
reverse charge (rcm): no
place of supply: delhi (07)

billed to / recipient:
billwise enterprises private limited
gstin: 27aaacb1234f1z5
state: maharashtra (27)

--------------------------------------------------
line items & particulars
--------------------------------------------------
  item: ergonomic mesh chairs and standing motorized desks for team
  hsn/sac: 940330 | qty: 8 | rate: inr 13,188.37 | amount: inr 105,506.96
  item: kirloskar 25 kva silent dg set generator with amf panel
  hsn/sac: 850211 | qty: 6 | rate: inr 40,894.79 | amount: inr 245,368.74

--------------------------------------------------
subtotal / taxable value: inr 350,875.70
cgst (9.0%): inr 31,578.81
sgst (9.0%): inr 31,578.81
total tax amount: inr 63,157.63
grand total (incl. tax): inr 414,033.33
--------------------------------------------------
payment terms: net 30 days | mode: neft/rtgs
bank name: hdfc bank | a/c: 502000118027 | ifsc: hdfc0001234
authorized signatory for canon india business machines
==================================================",Capital Goods & Office Assets,Canon India Business Machines,350875.7,414033.33
"==================================================
commercial tax invoice
==================================================
supplier / vendor: apex general store
address: industrial area, west bengal, india
gstin: 19rmqaw3986r4ze | pan: rmqaw3986r
state / state code: west bengal (19)

invoice no: gst/2253/2026
invoice date: 26/03/2026
reverse charge (rcm): no
place of supply: west bengal (19)

billed to / recipient:
billwise enterprises private limited
gstin: 27aaacb1234f1z5
state: maharashtra (27)

--------------------------------------------------
line items & particulars
--------------------------------------------------
  item: miscellaneous unclaimed supplies, unlisted scrap disposal handling fee
  hsn/sac: 999999 | qty: 10 | rate: inr 411.40 | amount: inr 4,114.00
  item: unclassified administrative charges and miscellaneous office expense
  hsn/sac: 998399 | qty: 8 | rate: inr 649.52 | amount: inr 5,196.16
  item: old scrap wooden pallets, broken crates & discarded material clearance
  hsn/sac: 999999 | qty: 1 | rate: inr 3,800.00 | amount: inr 3,800.00

--------------------------------------------------
subtotal / taxable value: inr 13,110.16
cgst (9.0%): inr 1,179.91
sgst (9.0%): inr 1,179.91
total tax amount: inr 2,359.83
grand total (incl. tax): inr 15,469.99
--------------------------------------------------
payment terms: net 30 days | mode: neft/rtgs
bank name: hdfc bank | a/c: 502000198937 | ifsc: hdfc0001234
authorized signatory for apex general store
==================================================",Other,Apex General Store,13110.16,15469.99
"==================================================
COMMERCIAL TAX INVOICE
==================================================
Supplier / Vendor: Blue Tokai Coffee Roasters
Address: Industrial Area, Delhi, India
GSTIN: 07MSIDR0505F3ZV | PAN: MSIDR0505F
State / State Code: Delhi (07)

Invoice No: BLU-65572
Invoice Date: 12/07/2026
Reverse Charge (RCM): No
Place of Supply: Delhi (07)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Monthly executive cafeteria lunch meal passes & cafeteria catering
  HSN/SAC: 996332 | Qty: 4 | Rate: INR 9,572.03 | Amount: INR 38,288.12
  Item: Freshly roasted coffee beans & pantry snack supply monthly billing
  HSN/SAC: 996337 | Qty: 9 | Rate: INR 1,069.35 | Amount: INR 9,624.15
  Item: Corporate annual team dinner & celebration party food package
  HSN/SAC: 996331 | Qty: 2 | Rate: INR 15,739.58 | Amount: INR 31,479.16

--------------------------------------------------
Subtotal / Taxable Value: INR 79,391.43
CGST (9.0%): INR 7,145.23
SGST (9.0%): INR 7,145.23
Total Tax Amount: INR 14,290.46
GRAND TOTAL (INCL. TAX): INR 93,681.89
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000736849 | IFSC: HDFC0001234
Authorized Signatory for Blue Tokai Coffee Roasters
==================================================",Food & Entertainment,Blue Tokai Coffee Roasters,79391.43000000001,93681.89
"==================================================
COMMERCIAL TAX INVOICE
==================================================
Supplier / Vendor: Allcargo Freight Forwarders
Address: Industrial Area, Maharashtra, India
GSTIN: 27SKMFM8275A1ZQ | PAN: SKMFM8275A
State / State Code: Maharashtra (27)

Invoice No: ALL-28850
Invoice Date: 11/08/2026
Reverse Charge (RCM): Yes
Place of Supply: Maharashtra (27)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Interstate container freight haulage Mumbai Nhava Sheva to Bhiwandi
  HSN/SAC: 996519 | Qty: 4 | Rate: INR 11,038.43 | Amount: INR 44,153.72
  Item: Refrigerated reefer container cold chain logistics transport
  HSN/SAC: 996511 | Qty: 5 | Rate: INR 11,609.80 | Amount: INR 58,049.00
  Item: Hydraulic axle trailer heavy machinery transport Bangalore to Pune
  HSN/SAC: 996511 | Qty: 4 | Rate: INR 31,856.68 | Amount: INR 127,426.72

--------------------------------------------------
Subtotal / Taxable Value: INR 229,629.44
CGST (2.5%): INR 5,740.73
SGST (2.5%): INR 5,740.73
Total Tax Amount: INR 11,481.47
GRAND TOTAL (INCL. TAX): INR 241,110.91
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000616187 | IFSC: HDFC0001234
Authorized Signatory for Allcargo Freight Forwarders
==================================================",Freight & Transport,Allcargo Freight Forwarders,229629.44,241110.91
"==================================================
ORIGINAL FOR RECIPIENT - TAX INVOICE
==================================================
Supplier / Vendor: Godrej & Boyce Interio Division
Address: Industrial Area, Gujarat, India
GSTIN: 24NKSSF2123B3ZS | PAN: NKSSF2123B
State / State Code: Gujarat (24)

Invoice No: INV-2026-2874
Invoice Date: 12/01/2026
Reverse Charge (RCM): No
Place of Supply: Gujarat (24)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Dell Latitude 5440 Core i7 16GB RAM 512GB SSD Laptops 5 units
  HSN/SAC: 847130 | Qty: 7 | Rate: INR 46,728.08 | Amount: INR 327,096.56
  Item: High-density motorized mobile compactor storage racking system
  HSN/SAC: 940320 | Qty: 4 | Rate: INR 36,619.59 | Amount: INR 146,478.36
  Item: HP Enterprise Rack Server ProLiant DL380 Gen10 Xeon
  HSN/SAC: 847141 | Qty: 3 | Rate: INR 206,531.36 | Amount: INR 619,594.08

--------------------------------------------------
Subtotal / Taxable Value: INR 1,093,169.00
IGST (12%): INR 131,180.28
Total Tax Amount: INR 131,180.28
GRAND TOTAL (INCL. TAX): INR 1,224,349.28
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000786633 | IFSC: HDFC0001234
Authorized Signatory for Godrej & Boyce Interio Division
==================================================",Capital Goods & Office Assets,Godrej & Boyce Interio Division,1093169.0,1224349.28
"==================================================
ORIGINAL FOR RECIPIENT - TAX INVOICE
==================================================
Supplier / Vendor: Schneider Electric Infrastructure Support
Address: Industrial Area, Karnataka, India
GSTIN: 29TSEMT7522H1ZT | PAN: TSEMT7522H
State / State Code: Karnataka (29)

Invoice No: GST/4870/2026
Invoice Date: 23/03/2026
Reverse Charge (RCM): No
Place of Supply: Karnataka (29)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Annual Maintenance Contract (AMC) for central HVAC chillers quarterly service
  HSN/SAC: 998711 | Qty: 8 | Rate: INR 4,964.20 | Amount: INR 39,713.60
  Item: Quarterly commercial pest control, termite treatment & fumigation service
  HSN/SAC: 998729 | Qty: 1 | Rate: INR 12,000.00 | Amount: INR 12,000.00
  Item: Diesel generator overhaul, engine oil replacement, fuel filter service
  HSN/SAC: 998712 | Qty: 3 | Rate: INR 8,398.57 | Amount: INR 25,195.71

--------------------------------------------------
Subtotal / Taxable Value: INR 76,909.31
CGST (14.0%): INR 10,767.31
SGST (14.0%): INR 10,767.31
Total Tax Amount: INR 21,534.61
GRAND TOTAL (INCL. TAX): INR 98,443.92
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000336407 | IFSC: HDFC0001234
Authorized Signatory for Schneider Electric Infrastructure Support
==================================================",Repairs & Maintenance,Schneider Electric Infrastructure Support,76909.31,98443.92
"==================================================
TAX INVOICE
==================================================
Supplier / Vendor: Kores India Office Products
Address: Industrial Area, Delhi, India
GSTIN: 07YPJUO6538B4ZG | PAN: YPJUO6538B
State / State Code: Delhi (07)

Invoice No: BILL/07/34932
Invoice Date: 13/08/2026
Reverse Charge (RCM): No
Place of Supply: Delhi (07)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Laser printer toner cartridges HP 88A / Canon 337 6 units
  HSN/SAC: 844399 | Qty: 1 | Rate: INR 14,500.00 | Amount: INR 14,500.00
  Item: JK Copier A4 Paper 75 GSM 50 Reams bulk box supply
  HSN/SAC: 480256 | Qty: 5 | Rate: INR 2,230.76 | Amount: INR 11,153.80
  Item: Thermal paper rolls for billing POS machines 100 rolls box
  HSN/SAC: 481190 | Qty: 7 | Rate: INR 538.16 | Amount: INR 3,767.12

--------------------------------------------------
Subtotal / Taxable Value: INR 29,420.92
IGST (5%): INR 1,471.05
Total Tax Amount: INR 1,471.05
GRAND TOTAL (INCL. TAX): INR 30,891.97
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000601888 | IFSC: HDFC0001234
Authorized Signatory for Kores India Office Products
==================================================",Office Supplies & Stationery,Kores India Office Products,29420.92,30891.97
"==================================================
COMMERCIAL TAX INVOICE
==================================================
Supplier / Vendor: Maharashtra State Electricity Distribution (MSEDCL)
Address: Industrial Area, Gujarat, India
GSTIN: 24OJJUY5759H2ZX | PAN: OJJUY5759H
State / State Code: Gujarat (24)

Invoice No: MAH-13848
Invoice Date: 15/11/2026
Reverse Charge (RCM): No
Place of Supply: Gujarat (24)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Commercial high tension electricity tariff consumption 8500 units billing
  HSN/SAC: 996911 | Qty: 3 | Rate: INR 16,351.30 | Amount: INR 49,053.90
  Item: Data center dark fiber point-to-point leased connectivity monthly tariff
  HSN/SAC: 998411 | Qty: 9 | Rate: INR 3,492.93 | Amount: INR 31,436.37
  Item: Municipal commercial water tanker & wastewater pipeline utility cess
  HSN/SAC: 996912 | Qty: 3 | Rate: INR 3,321.41 | Amount: INR 9,964.23

--------------------------------------------------
Subtotal / Taxable Value: INR 90,454.50
IGST (18%): INR 16,281.81
Total Tax Amount: INR 16,281.81
GRAND TOTAL (INCL. TAX): INR 106,736.31
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000764924 | IFSC: HDFC0001234
Authorized Signatory for Maharashtra State Electricity Distribution (MSEDCL)
==================================================",Utilities,Maharashtra State Electricity Distribution (MSEDCL),90454.5,106736.31
"==================================================
ORIGINAL FOR RECIPIENT - TAX INVOICE
==================================================
Supplier / Vendor: BDO India Tax & Regulatory LLP
Address: Industrial Area, Delhi, India
GSTIN: 07TVGUB7238Y3ZY | PAN: TVGUB7238Y
State / State Code: Delhi (07)

Invoice No: TAX/26-27/281
Invoice Date: 19/01/2026
Reverse Charge (RCM): No
Place of Supply: Delhi (07)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Legal opinion on contractual liability, IP trademark filing & advocate fee
  HSN/SAC: 998211 | Qty: 10 | Rate: INR 5,603.15 | Amount: INR 56,031.50
  Item: Transfer pricing documentation and corporate tax advisory retainer
  HSN/SAC: 998231 | Qty: 7 | Rate: INR 7,985.15 | Amount: INR 55,896.05
  Item: Statutory audit fees, quarterly tax audit & GST annual return filing certification
  HSN/SAC: 998221 | Qty: 2 | Rate: INR 42,743.84 | Amount: INR 85,487.68

--------------------------------------------------
Subtotal / Taxable Value: INR 197,415.23
CGST (9.0%): INR 17,767.37
SGST (9.0%): INR 17,767.37
Total Tax Amount: INR 35,534.74
GRAND TOTAL (INCL. TAX): INR 232,949.97
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000985699 | IFSC: HDFC0001234
Authorized Signatory for BDO India Tax & Regulatory LLP
==================================================",Professional & Legal Services,BDO India Tax & Regulatory LLP,197415.22999999998,232949.97
"==================================================
TAX INVOICE
==================================================
Supplier / Vendor: Bajaj Allianz General Insurance
Address: Industrial Area, Telangana, India
GSTIN: 36ZDIER0885Z1ZE | PAN: ZDIER0885Z
State / State Code: Telangana (36)

Invoice No: TAX/26-27/566
Invoice Date: 13/06/2026
Reverse Charge (RCM): No
Place of Supply: Telangana (36)

Billed To / Recipient:
BillWise Enterprises Private Limited
GSTIN: 27AAACB1234F1Z5
State: Maharashtra (27)

--------------------------------------------------
LINE ITEMS & PARTICULARS
--------------------------------------------------
  Item: Commercial property, factory fire & special perils insurance policy premium
  HSN/SAC: 997132 | Qty: 10 | Rate: INR 6,970.17 | Amount: INR 69,701.70
  Item: Workmen compensation insurance policy premium for factory workers
  HSN/SAC: 997133 | Qty: 3 | Rate: INR 11,602.31 | Amount: INR 34,806.93

--------------------------------------------------
Subtotal / Taxable Value: INR 104,508.63
CGST (2.5%): INR 2,612.72
SGST (2.5%): INR 2,612.72
Total Tax Amount: INR 5,225.43
GRAND TOTAL (INCL. TAX): INR 109,734.06
--------------------------------------------------
Payment Terms: Net 30 Days | Mode: NEFT/RTGS
Bank Name: HDFC Bank | A/C: 502000334703 | IFSC: HDFC0001234
Authorized Signatory for Bajaj Allianz General Insurance
==================================================",Insurance,Bajaj Allianz General Insurance,104508.63,109734.06
